setID,id,analysisLoc
A5B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
A6A,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
A6B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
B7A,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
B7B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
B8A,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
B8B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C7A,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C7B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C8A,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C8B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
D6B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/