samplename,description,phenotype,batch
HC_merged,WT,normal,A2-1;A2-2;A6-1;A6-2;C1-1;C1-2;C12;1;C12-2;F7-1;F7-2;F10-1;F10-2;H2-1;H2-2;A5A;A5B;A6A;A6B;B7A;B7A;B8A;B8B;C7A;C7B;C8A;C8B;D6B
A2-1,A2-1,tumor,A2-1
A2-2,A2-2,tumor,A2-2
A6-1,A6-1,tumor,A6-1
A6-2,A6-2,tumor,A6-2
C1-1,C1-1,tumor,C1-1
C1-2,C1-2,tumor,C1-2
C12-1,C12-1,tumor,C12-1
C12-2,C12-2,tumor,C12-2
F7-1,F7-1,tumor,F7-1
F7-2,F7-2,tumor,F7-2
F10-1,F10-1,tumor,F10-1
F10-2,F10-2,tumor,F10-2
H2-1,H2-1,tumor,H2-1
H2-2,H2-2,tumor,H2-2
A5A,A5A,tumor,A5A
A5B,A5B,tumor,A5B
A6A,A6A,tumor,A6A
A6B,A6B,tumor,A6B
B7A,B7A,tumor,B7A
B7B,B7B,tumor,B7B
B8A,B8A,tumor,B8A
B8B,B8B,tumor,B8B
C7A,C7A,tumor,C7A
C7B,C7B,tumor,C7B
C8A,C8A,tumor,C8A
C8B,C8B,tumor,C8B
D6B,D6B,tumor,D6B